name,name_variants,tier,mentors,promise,audience_nicho,deliveries,social_proof,page_number,is_ai,ai_relevance,ai_notes,attendees_with_club_field,members_count,guests_count,family_table_count,pista_premium_count,arquibancada_count
HEALTH ONE CO.,Health One co.,silver,Vanessa Goltzman,"Mentoria premium para clínicas de saúde que desejam se transformar em ecossistemas com solução única e exclusiva, método próprio, programas de acompanhamento e time multidisciplinar de alta performance, garantindo escala e faturamento independente do dono.",medicina / saúde,"ENCONTROS: 4 encontros individuais + 2 encontros presenciais anuais | PLATAFORMA: plataforma exclusiva com conteúdos de vendas + liderança gravados | MENTORIAL SEMANAL: em grupo, para evolução contínua",pacientes=+35 mil pacientes impactados ao redor do mundo | indicador=+45 países com aplicação do nosso método | indicador=+17 anos liderando ecossistemas de saúde escaláveis,61,False,none,,29,2,27,4,11,14
IMPORT.AÇÃO CLUB,Import.AÇÃO Club,silver,Rodrigo Lopes,"O Import.AÇÃO Club é um grupo exclusivo para empresários que buscam dominar a importação e expandir seus negócios globalmente. Os membros participam de um fundo de investimento em importação, vivenciando etapas reais com cases práticos, ampliando sua visão sobre o mercado internacional. O clube oferece dois eventos presenciais no Brasil e dois eventos em Dubai, proporcionando um aprendizado imersivo e estratégico.",importação,ENCONTROS: 4 encontros presenciais ao longo do ano + 1 encontro online por mês | FUNDO DE INVESTIMENTO: para importação e negócios globais | WHATSAPP: grupo exclusivo | EXPERIÊNCIAS: acesso a experiências exclusivas,faturamento=+300 milhões de faturamento gerado pelos membros | faturamento=milhões de faturamento gerado pelos membros | socios=+30 sócios no grupo +100 | indicador=+100 viagens internacionais realizadas | indicador=viagens internacionais realizadas,62,False,none,,20,2,18,1,5,14
IMPUSHE,Impushe,silver,Fabiana Carneiro,"Impushe é um programa exclusivo para mulheres que buscam crescimento profissional no mundo dos negócios. Oferece conteúdo prático e direcionado, com foco em fortalecer processos comerciais, gestão, liderança, autoridade, influência e estratégias de negócios. A partir de dezembro de 2024, inclui uma agenda exclusiva para cônjuges, liderada por Caio Carneiro, abordando alavancas empresariais e promovendo networking.",educação / mentores,ENCONTROS: 4 encontros presenciais e 8 encontros online durante o ano | PLATAFORMA: com todos os encontros gravados | WHATSAPP: grupo com todos os membros e mentores | EXPERIÊNCIAS: experiências especiais além da agenda de encontros anuais,indicador=+16 setores diferentes | mentorados=+70 mentorados no grupo | mentorados=mentoradas participantes de outros países,63,False,none,,20,4,16,0,9,11
INFINITY GIANTS,Infinity Giants,silver,Gigante | Gigante Kaká,"O INFINITY GIANTS, são para empresários de diversos setores de atuação. No Infinity o empresário vai aprender a montar estratégias eficazes e inovação de vendas e posicionamento no digital com autoridade.",educação / mentores,ENCONTROS: 3 encontros presenciais ao longo do ano | WHATSAPP: grupo exclusivo de WhatsApp,faturamento=500 milhões de faturamento do grupo | faturamento=milhões de faturamento do grupo | socios=33 sócios | colaboradores=+1.000 colaboradores,64,False,none,,4,2,2,4,0,0
LEGACY DOCTORS,Legacy Doctors,silver,Daniel Botelho,"Para médicos que buscam ir além da técnica e construir um legado. A Legacy Doctors, liderada pelo Dr. Daniel Botelho, une gestão, marketing e mentalidade de alta performance para formar líderes que prosperam nas dimensões familiar, empresarial e social. Aqui, o foco é liberdade, propósito e impacto duradouro.",medicina / saúde,ENCONTROS: 02 encontros presenciais de 02 dias + 24 encontros online durante o ano | PLATAFORMA: Plataforma exclusiva com todos encontros gravados | EXCLUSIVO: 02 diárias de consultoria ou treinamento in company + 24 sessões de mentoria individuais,indicador=40% de aumento médio | faturamento=aumento médio no faturamento dos mentorados | faturamento=médio no faturamento dos mentorados | faturamento=+50 milhões no faturamento dos mentorados | faturamento=milhões no faturamento dos mentorados | indicador=+20 projetos educacionais médicos em diferentes especialidades,66,False,none,,36,11,25,2,11,23
MASTER RENNER SILVA,Master Renner Silva,silver,Renner Silva,"Mentoria para empresários que desejam usar os palcos para se posicionar e vender mais, com palestras impactantes e eventos de alta conversão. Ensina a estruturar palestras emocionais com conteúdo técnico e histórias de vida, além de criar eventos transformadores e lucrativos. Conecte-se com uma comunidade de empreendedores que brilham nos melhores palcos do Brasil.",educação / mentores,ENCONTROS: 3 encontros presenciais por ano e um online todas as semanas | EVENTO PRÁTICO: os membros palestrarão dividindo o palco com grandes nomes | ACESSO AOS EVENTOS: de imersão para ver na prática meus eventos e modelar | AUDIÇÕES DE PALESTRAS: uma vez por mês com feedbacks,indicador=+500 Palestras criadas | faturamento=+500k faturamento de alunos por evento,68,False,none,,11,5,6,3,7,1
MEDCONECTT,Medconectt,silver,Gustavo Guimarães | Thaís Guimarães,"O clube é para médicos e profissionais da saúde que querem transformar suas clínicas em negócios de alta performance. Nossa comunidade reúne Intelgencia Artificial, gestão, marketing e vendas aplicados à saúde. A grande promessa: equipes preparadas, pacientes encantados e faturamento crescente.",medicina / saúde,"ENCONTROS: semanais individuais e em grupo e 2 encontros anuais | EXCLUSIVO: mentoria exclusiva para as secretárias e equipe do médico | GESTÃO: Mentoria individual do médico, mentoria da equipe do médico, IA de atendimento e vendas",faturamento=+150 milhões de faturamento do grupo | faturamento=milhões de faturamento do grupo | indicador=Ecossitema com mais de 10 soluções | indicador=com mais de 10 soluções de implementação imediata | indicador=10 soluções de implementação imediata | indicador=70% de média de crescimento nos 3 primeiros meses,69,True,adjacent,inteligência artificial (grafia do book) na comunidade,21,10,11,3,18,0
MEDGEST CLUB,Medgest Club,silver,Domingos Mantelli | Rogério Magalhães | Erica Mantelli,"Mentoria exclusiva para médicos, focada em gestão, empreendedorismo, e vendas, visando escalar seus negócios e aumentar faturamento exponencialmente.",medicina / saúde,ENCONTROS: Encontros presenciais e on-lines | EXCLUSIVO: experiências e entrega de materiais didáticos | GESTÃO: ferramentas aplicáveis de gestão,faturamento=+60 milhões de faturamento total do grupo | faturamento=milhões de faturamento total do grupo | unidades=+13 clínicas | unidades=clínicas +1.000 | indicador=+1.000 médicos treinados pelos experts | indicador=médicos treinados pelos experts,70,False,none,,68,31,37,4,54,10
MEDIMAKERS,MediMakers,silver,Marcelo Kierszenbaum,"O MediMakers é uma mentoria para médicos que buscam superar a rotina exaustiva e conquistar liberdade financeira. Com foco em Marketing, Posicionamento e Vendas, o programa ajuda a aumentar faturamento, criar produtos digitais, eventos de impacto, atrair pacientes de forma estratégica e otimizar processos, preparando médicos empreendedores para expandir sua atuação, construir uma carreira próspera e levar sua mensagem mais longe.",medicina / saúde,"ENCONTROS: 2 imersões presenciais por ano | PLATAFORMA: com todos os encontros gravados, material de apoio e conteúdo técnico | WHATSAPP: grupo exclusivo com todos os mentorados e grupo individual de apoio com o Marcelo e seu dream team | ONLINE: 7 reuniões semanais online em grupo e individuais com o Marcelo",faturamento=+8 dígitos de faturamento no grupo | faturamento=dígitos de faturamento no grupo | mentorados=70 mentorados,72,False,none,,17,4,13,4,9,4
MENTALIDADE MASTER,Mentalidade Master,silver,Pedro Quintanilha | Flávia Quintanilha,"Grupo premium para empreendedores digitais focado em margem, recorrência e escala. Reúne em um mastermind os maiores nomes do mercado digital de educação e recorrência. Destinado a quem deseja crescer exponencialmente, aumentar influência e impacto, com mais lucros e menos estresse, dominando estratégias digitais e o modelo de negócios recorrentes.",educação / mentores,ENCONTROS: 3 encontros presenciais de 2 dias e 9 online por ano | PLATAFORMA: com toda a metodologia e gravações dos encontros ao vivo | ADVISOR MEETING: reunião individual com o Pedro Quintanilha trimestral | WHATSAPP: grupo exclusivo com todos os membros e os mentores,socios=+1 bilhão gestão de patrimônio de clientes dos sócios | indicador=+ Presenças relevantes os maiores nomes do mercado digital de | indicador=relevantes os maiores nomes do mercado digital de educação e recorrência | indicador=milhões de clientes recorrentes impactados,73,False,none,,7,1,6,4,0,3
MENTOREASY CLUB,MentorEasy Club,silver,Pedro Schwartzmann,"Desenvolvida especialmente para cardiologistas, o MentorEasy Club une estratégia, mentalidade e propósito, proporcionando mais qualidade de via ao médico, ambiência profissional e aumento de faturamento, fazendo uma medicina de verdade, com mais equilíbrio e liberdade, sem abrir mão da excelência.",medicina / saúde,"ENCONTROS: 3 encontros presenciais, encontro em Ribeirão Preto e reuniões semanais | PLATAFORMAS: CardioEasy com conteúdos da plataforma de atualização | WHATSAPP: Grupos Whatsapp + Instagram",socios=120 membros na mentoria | socios=membros na mentoria 4500 | indicador=4500 médicos na plataforma CardioEasy | indicador=médicos na plataforma CardioEasy | indicador=+ 15 mil médicos em eventos Cardioeasy em 2025 | indicador=médicos em eventos Cardioeasy em 2025,74,False,none,,92,37,55,5,75,12
METHOD CLUB,,silver,Mari Coelho,"Somos um ecossistema exclusivo para empresários e profissionais que utiliza a educação como motor para criar produtos estratégicos, que geram venda e criam legado. Os negócios que mais crescem e lucram são aqueles que investem em educação, para isso existe um caminho, uma estratégia, um método e foi assim que nasceu Method Club. Com método o seu conhecimento é o ativo mais valioso que existe.",educação / mentores,"ENCONTROS: 3 encontros presenciais de 2 dias e 9 encontros on-line por ano | NETWORKING PREMIUM: grupo exclusivo no WhatsApp com todos os sócios, promovendo conexões estratégicas | MÉTODO E FERRAMENTAS: atendimento individual de diagnóstico para construção de ferramentas próprias | MESA DE NEGÓCIOS: almoço e jantares periódicos com o grupo para conexão e crescimento",indicador=1 o ecossistema voltado para a escala de negócios por meio | indicador=+600 métodos construídos | nps=100% aprovação dos membros (NPS 10),65,False,none,,0,0,0,0,0,0
MIDAS CLUB,,silver,Hilston Guerim | Isabella Guerim,"O Midas Club é uma mentoria focada em estratégias, gestão, vendas, escala e governança. Com ferramentas práticas e conteúdos de aplicação imediata, o objetivo é transformar cada empresário em um Midas, alguém que, independente do seu negócio, prospera e multiplica seus resultados. Além disso, fortalece o casal que empreende junto, garantindo crescimento sustentável e alinhamento na jornada empresarial.",educação / mentores,ENCONTROS: 8 encontros presenciais ao longo do ano (2 dias cada) | ONLINE: mentoria individual online entre os encontros | WHATSAPP: grupo VIP no WhatsApp com os mentores e todos os sócios | EVENTOS: experiências e eventos exclusivos ao longo do ano,indicador=+1.100 empresários impactados pelo método | indicador=+15 anos os maiores nomes do mercado digital de educação e recorrência | faturamento=+250 milhões de faturamento do grupo | faturamento=milhões de faturamento do grupo,75,False,none,,0,0,0,0,0,0
MÉDICOEMPRESÁRIO,MédicoEmpresário,silver,Thiago Volpi,"Ajudamos médicos a transformar suas clínicas em empresas que geram resultados financeiros recorrentes, sem depender exclusivamente do seu trabalho, e preparadas para o crescimento e a expansão.",medicina / saúde,ENCONTROS: 2 encontros presenciais por ano | PLATAFORMA: com reuniões online semanais gravadas | WHATSAPP: grupos temáticos de WhatsApp | ONLINE: 1 encontro online semanal + entregas extras,faturamento=+180 milhões de faturamento por ano | faturamento=milhões de faturamento por ano | mentorados=+110 mentorados ativos | mentorados=mentorados ativos | colaboradores=+700 colaboradores impactados,71,False,none,,58,10,48,4,30,24
OCULOPLASTIC MENTORING,Oculoplastic Mentoring,silver,Tiago Ortiz,"Mentoria para cirurgiões especializados em cirurgia plástica periocular que buscam refinar resultados cirúrgicos através de cirurgias hands-on, aprimorar processos de venda, gestão, posicionamento e marketing digital.",oftalmologia / ótica,ENCONTROS: Encontros quinzenais online + 2 eventos presenciais | HANDS-ON: Cirurgias hands-on e 2 encontros online individuais | GRUPOS: no Telegram e WhatsApp | CONTEÚDOS: Área de membros com conteúdos gravados,faturamento=400% no faturamento | socios=+26 sócios | colaboradores=+50 colaboradores impactados,76,False,none,,28,4,24,2,8,18
ODONTO ELITE,OdontoElite,silver,Dr. Cristiano Demartini,"Em um país com o maior número de dentistas do mundo, a OdontoElite capacita dentistas e empresários a crescer com estratégia e alcançar resultados. Conduzida pelo Dr. Cristiano Demartini, fundador e CEO da OdontoTop, a mentoria ensina a estruturar equipes, otimizar processos e expandir negócios com consistência.",odontologia,ENCONTROS: 3 encontros presenciais + 9 encontros online durante o ano | ESTRATÉGIA: Plano individualizado com acompanhamento estratégico | ACESSO: aos bastidores da maior rede de hospitais odontológicos do Brasil e em outras empresas do setor | WHATSAPP: Grupo exclusivo do WhatsApp aberto,indicador=+1000 dentistas transformados através dos ensinamentos | indicador=dentistas transformados através dos ensinamentos | indicador=+15 anos de experiência na odontologia | mentorados=+90% dos mentorados já possuem mais de uma clínica,78,False,none,,250,33,217,2,139,109
ONE VISION,One Vision,silver,Francelino Neto | Faby Leite,"O empresário do futuro não vende produto. Ele forma pessoas. O objetivo do Clube Vision é simples: Conectar, posicionar e acelerar quem quer servir o presente com a visão do futuro. Não é uma mentoria. Não é mastermind. É o boardroom dos empresários de educação do futuro.",educação / mentores,ENCONTROS: 3 encontros presenciais + 9 encontros online com o board durante o ano | ESTRATÉGIA: Estratégia real de produto com recorrência e margem | SALA DE GUERRA ONLINE: com o que está funcionando agora no mercado - estratégias mudam sempre | NETWORKING: com quem tá no jogo grande; Experiência em empresas reais - Vision Expedition,faturamento=+1 bilhão de faturamento +48 | socios=+48 sócios +1500 | colaboradores=+1500 colaboradores,77,False,none,,53,19,34,2,8,43
PARNASSAH CLUB,,silver,Édio Alberti | Elisa Simões,"A Parnassah Club é um programa exclusivo para casais empreendedores que buscam elevar seus negócios e fortalecer sua parceria. Liderado por Édio Alberti e Elisa Simões, alia 30 anos de experiência empresarial com uma abordagem que integra princípios de vida familiar, liderança, espiritualidade e estratégia, conectando sucesso profissional a propósito de vida.",educação / mentores,"ENCONTROS: 3 encontros presenciais de 2 dias + encontros online a cada 15 dias | PLATAFORMA: Plataforma exclusiva para membros, com todos os encontros gravados | WHATSAPP: grupo exclusivo de whatsapp com todos os sócios e os mentores",faturamento=+700 milhões de faturamento total do grupo | faturamento=milhões de faturamento total do grupo | colaboradores=+1.000 colaboradores impactados | colaboradores=colaboradores impactados +30 anos | indicador=+30 anos de Experiência em Gestão Empresarial,79,False,none,,0,0,0,0,0,0
PRECISÃO CIRÚRGICA,Precisão Cirúrgica,silver,Marcelo Vieira,"O programa Precisão Cirúrgica é uma experiência exclusiva para médicos que desejam dominar técnicas cirúrgicas avançadas e habilidades de gestão empresarial. Com encontros quinzenais virtuais e práticos, inclui dois encontros presenciais exclusivos para cirurgiões, sendo um deles o hands- -on em cadáver. Proporciona aprendizado único em anatomia complexa, padronização de metodologias cirúrgicas, gestão de carreira e networking de alto impacto.",cirurgia,ENCONTROS: 2 encontros presenciais sendo um Hands-on de dissecção de cadáver | WHATSAPP: grupo exclusivo | VÍDEOS AO VIVO: discussão e análise de vídeos cirúrgicos ao vivo | SESSÕES QUINZENAIS: temáticas sobre técnicas cirúrgicas avançadas,mentorados=+20 mentorados +2 | faturamento=+2 milhões em faturamento no primeiro ano | faturamento=milhões em faturamento no primeiro ano,80,False,none,,7,3,4,3,3,1
PRIME DOCTOR CLUB,,silver,Dr. Ivan Rollemberg,"O Prime Doctor Club é para empresários que atuam na área da saúde e estética, ajudando-os a desenvolver suas equipes e expandir seus negócios. A mentoria atua estrategicamente para fortalecer liderança, gestão e crescimento empresarial.",estética,ENCONTROS: 3 encontros presenciais ao longo do ano | WHATSAPP: Grupo para comunicação entre membros e mentor | ONLINE: Encontros mensais no formato online | VIAGENS INTERNACIONAIS: para os principais eventos da área estética do mundo,,81,False,none,,0,0,0,0,0,0
SCALE CLUB,Scale Club,silver,Raphael Mattos,"O Scale Club é uma mentoria para empreendedores que desejam escalar negócios nos padrões de franquia, baseada na metodologia SCALE de Raphael Mattos. Focada em Produto Campeão, Modelo Escalável e Empreendedor Estratégico, oferece um ambiente colaborativo com parcerias estratégicas e visitas técnicas anuais a grandes empresas como Cacau Show, Fini, McDonald's e Ri Happy, promovendo insights e networking de alto nível.",educação / mentores,ENCONTROS: 3 encontros presenciais e 12 encontros online durante o ano | PLATAFORMA: de treinamento com acesso a grandes marcas | WHATSAPP: grupo com todos os membros e mentores | EXPERIÊNCIAS: acesso a experiência e eventos exclusivos durante o ano,unidades=+1500 unidades somadas | indicador=+1200 empresários impactados pelo método para escala | faturamento=+500 milhões de faturamento | faturamento=milhões de faturamento,82,False,none,,92,14,78,1,28,63
SPARKZ,,silver,Isabela Matte | Luan Matte,"Sparkz é um ambiente dinâmico focado em transformar e escalar negócios digitais de forma sustentável. Com temas como autoconfiança, posicionamento estratégico e execução eficaz, o clube promove conexões relevantes e oportunidades valiosas, ideal para quem deseja se destacar no universo digital.",educação / mentores,"ENCONTROS: 3 encontros presenciais de 2 dias e 9 encontros online | PLATAFORMA: Acesso aos cursos do Imatize | WHATSAPP: Grupo de WhatsApp com os mentores e bastidores do time | EXPERIÊNCIAS: Acesso a experiências exclusivas (Experiencez, Guestz, Backstagez, Insiderz)",indicador=+7 dígitos de vendas na abertura do clube | mentorados=+30 mentorados no grupo | mentorados=Internacional mentorados participantes de outros países,83,False,none,,0,0,0,0,0,0
TECH SALES CLUB,Tech Sales Club,silver,Diego Rodrigues,"O TSC é um clube exclusivo para empreendedores que querem escalar seu faturamento por meio de vendas e da formação de times comerciais. Com o acompanhamento direto de Diego Rodrigues e Flávio Augusto, 70% dos nossos membros ultrapassaram 100% de ROI já nos 3 primeiros meses de mentoria.",educação / mentores,ENCONTROS: 3 aulas online ao vivo por semana e 2 encontros presenciais por ano | WHATSAPP: acesso a um grupo exclusivo no WhatsApp com os mentores | ACOMPANHAMENTO: Individualizado com o Diego Rodrigues,indicador=+7 dígitos de vendas na abertura do clube | mentorados=+40 mentorados no grupo | mentorados=Internacional mentorados participantes de outros países,84,False,adjacent,"Tech Sales — vendas/times comerciais; tech no nome, sem IA no pitch",57,4,53,6,25,26
TITANS CLUB RESERVE,Titans Club Reserve,silver,Rica Mello,"O Titans Club Reserve é para empresários em estágios avançados de maturidade, que desejam escalar seus negócios com estratégia e profundidade. Através de encontros de alto nível, acompanhamento individual intensivo e acesso a empresários de alto gabarito, o grupo oferece uma jornada de evolução personalizada, focada em performance sustentável.",educação / mentores,ENCONTROS: 3 encontros presenciais ao longo do ano + 9 encontros online | PLATAFORMA: com 100 horas de conteúdo para membros e seus colaboradores | REUNIÕES SEMANAIS: acompanhamento individual com equipe dedicada | EXPERIÊNCIAS: 1 visita à empresa do membro durante o ano,faturamento=R$ 1 bilhão de faturamento total | socios=95 membros ativos | nps=98 de NPS do clube,85,False,none,,87,6,81,6,31,50
TITTANIUM CLUB,Tittanium Club,silver,Fernanda Tochetto,"Ecossistema de educação empresarial para empresários, profissionais da saúde e mentores, que desejam fortalecer a mentalidade e a autoridade, crescer faturamento, realizar vendas de alto valor, construir um ecossistema de negócios e usufruir de uma ambiência que estimula conexões e expansão de oportunidades.",medicina / saúde,"ENCONTROS: orientações individualizadas, 3 encontros presenciais, 9 encontros online + plantões em grupo. | PLATAFORMA TITTANUM ACADEMY: com conteúdo estratégico, gravações dos encontros, metodologia própria e espaço para sócios. | WHATSAPP: grupo geral e grupos segmentados | EXPERIÊNCIAS: experiências únicas com foco na conexão, aprendizados e negócios.","faturamento=+1 bilhão de faturamento total no grupo | faturamento=bilhão de faturamento total no grupo | socios=+100 sócios ativos | socios=sócios em + de 38 cidades, 7 estados e 3 países",86,False,none,,104,30,74,3,47,54
TRAKTION,,silver,Hendel Favarin | Josef Rubin,"Grupo exclusivo para empreendedores e executivos que buscam alavancar seus negócios através de estratégias de tração e crescimento. São abordados os temas: Liderança e gestão, Cultura e escala, Aquisição e multi canais, Marketing/Vendas (growth), Modelo de negócio, Esteira de produto, Estruturação tributária e gestão financeira.",contábil,ENCONTROS: 3 encontros presenciais + encontros online durante o ano | PLATAFORMA: plataforma de recursos e ferramentas | ACOMPANHAMENTO: diagnóstico da eficiência do mkt/ vendas da empresa + Q&A periódicos | NETWORKING: eventos e encontros com trocas valiosas entre empresários,faturamento=+1 bilhão de faturamento combinado entre | faturamento=bilhão de faturamento combinado entre os membros | mentorados=+100 mentorados no grupo,87,False,none,,0,0,0,0,0,0
VERTEX CLUB,Vertex Club,silver,Michel Marun,"Clube premium de negócios para pequenos e médios empresários que já validaram o mercado, mas ainda dependem do esforço do dono. Trabalhamos Vendas, Gestão & Liderança, Tech e Escala - transformando improviso em estrutura, modelos previsíveis e liderança com autonomia real. Execução acima de tudo. O objetivo é crescer mesmo quando você não está na sala.",vendas,"ENCONTROS: 4 kick-offs individuais online + rituais semanais de execução em grupo + 3 imersões presenciais ao longo do ano | EXCLUSIVO: Blueprint do negócio + Acesso direto a Michel Marun + Emergency Call para situações críticas + Deal Flow do Clube | WHATSAPP: Grupo exclusivo do VERTEX Club — rede, suporte e bastidores | PLATAFORMA: Aulas semanais com especialistas e encontros gravados",faturamento=+2 bilhões gerados em faturamento pelo | faturamento=bilhões gerados em faturamento pelo ecossistema | faturamento=+100 empresários com faturamento milionário | indicador=+7 mil empresários capacitados,88,False,none,,259,12,247,4,61,194
WE.MASTER RUBY,we.master RUBY | We.Master Ruby,silver,Renata Pontes | Conrado Adolpho,"O We.Master Ruby é um clube para empresários que querem transformar conhecimento em mentorias lucrativas. Os eventos são baseados em hotseats, promovendo conexão, desafios e networking. Mais que uma formação, é um caminho para escalar impacto, monetizar expertise e se tornar referência, integrando-se a uma rede de líderes estratégicos.",educação / mentores,ENCONTROS: 3 encontros presenciais por ano | PLATAFORMA: acesso a plataforma de ensino | COMUNNITY MANAGER: dedicada | ENCONTRO SEMANAL: com Conrado Adolpho,socios=+150 sócios no ecossistema | socios=sócios no ecossistema,89,False,none,,0,0,0,0,0,0
100+ CLUB,,bronze,Thiago Salvador,"O 100+ Club é para donos de óticas e investidores que buscam operações lucrativas. Oferece estratégias para captação de clientes, vendas, metas, atendimento, visagismo e finanças. Promete elevar o faturamento das óticas acima de R$ 100 mil por unidade, com margens superiores a 25%, aproveitando o potencial crescente do mercado ótico no Brasil.",oftalmologia / ótica,ENCONTROS: 3 encontros presenciais por ano e 24 online (quinzenais) | PLATAFORMA: com conteúdos gravados | FEIRAS: presença em feiras internacionais e nacionais | CONVIDADOS: convidados especiais,faturamento=+120 milhões de faturamento no grupo | faturamento=milhões de faturamento no grupo | mentorados=+60 mentorados no grupo | unidades=+100 lojas pelo Brasil,91,False,none,,0,0,0,0,0,0
6D,6D - Aceleradora de Resultados,bronze,Kenia Gama,"No programa de aceleração você terá uma visão individual e estratégica da Kenia Gama e seu time para alavancar os seus resultados em tempo Record. Através dos principais pilares: Liderança, Gestão, Marketing, Vendas e IA.",educação / mentores,MENTORIA INDIVIDUAL: 2 sessões com a Kenia | PLATAFORMA: Área de membros com acesso a conteúdo técnico e estratégico de cada pilar | WHATSAPP: Comunidade exclusiva com mentorados + time de consultoras e mentora,faturamento=+200 milhões de faturamento | faturamento=milhões de faturamento | colaboradores=+500 colaboradores | indicador=+100 mil clientes atendidos,92,False,adjacent,"menciona IA como pilar/ferramenta, não como tese",8,7,1,5,3,0
A FORJA CLUB,A Forja Club,bronze,Vanessa Avelar | Felipe Ribeiro,"Mentoria de vendas para empresários e mentores, que forja estratégias comerciais para crescimento e previsibilidade no faturamento.",medicina / saúde,"ENCONTROS: 6 Encontros individuais on-line, 12 encontros hotseat e 2 encontros presenciais no ano | PLATAFORMA: personalizada | WHATSAPP: Grupo exclusivo de WhatsApp | TREINAMENTOS: Treinamentos exclusivos para equipes comerciais",faturamento=+100 milhões de faturamento total no grupo | faturamento=milhões de faturamento total no grupo | socios=+30 sócios ativos | faturamento=80% dos mentorados aumentaram seus faturamentos em,140,False,none,,14,2,12,4,1,9
A THRÍADE,,bronze,Angella Araújo | Jéssica da Silva | Nayara Caligares,"A Thríade é um clube para empresários da saúde que desejam crescer com prosperidade, liberdade e propósito. Liderada por Nayara Caligares, Jéssica da Silva e Angella Araújo, transforma clínicas em empresas fortes e seus donos em líderes realizados, felizes e preparados para deixar um legado.",medicina / saúde,"ENCONTROS: 3 imersões presenciais + encontros quinzenais com líderes + encontros semanais com equipes comerciais. | PLATAFORMA: Conteúdos gravados, aulas ao vivo e materiais estratégicos. | EXPERIÊNCIAS: Vivências exclusivas, conexões de alto nível e acompanhamento próximo. | WHATSAPP: Grupo exclusivo com empresários, líderes, equipes e mentoras.",faturamento=+30 milhões em faturamento combinado | faturamento=milhões em faturamento combinado | socios=+30 empresários e sócios | indicador=+100 mil + profissionais treinados,104,False,none,,0,0,0,0,0,0
ACELERAVET CLUB,,bronze,Raphael Clímaco,"O AceleraVet Club é uma comunidade de líderes e empreendedores do mercado pet. Reúne donos de clínicas, hospitais e negócios do setor que buscam crescer com estratégia, gestão e inovação. Ao longo da jornada, trabalhamos liderança, vendas, gestão, inovação e conexões para acelerar negócios e resultados.",veterinária / pet,ENCONTROS: 3 encontros presenciais de 2 dias + 50 encontros online durante o ano. | PLATAFORMA: Plataforma exclusiva com todos os encontros gravados. | WHATSAPP: Grupo exclusivo de WhatsApp com todos os sócios e os mentores. | EXPERIÊNCIAS: Experiências especiais além da agenda de encontros anuais.,faturamento=+10 bi de faturamento total do grupo | socios=+25 sócios +1500 | colaboradores=+1500 colaboradores impactados,94,False,none,,0,0,0,0,0,0
AGENCY MASTER,Agency Master,bronze,Igor Moraes | Raphael Mattos,"O Agency Master é um grupo de mastermind 100% focado em donos de agências, com encontros presenciais exclusivos, mentorias estratégicas e conexões de alto nível. Membros têm acesso a um grupo no WhatsApp para interação direta com mentores e sócios, conteúdos online e encontros especiais com convidados influentes.",educação / mentores,"ENCONTROS: 3 encontros presenciais exclusivos por ano com mentorias estratégicas | PLATAFORMA: com conteúdo estratégico, gravações e materiais de apoio | WHATSAPP: Comunidade ativa para trocas diárias, suporte e oportunidades | PARTICIPAÇÃO: de influenciadores e convidados especiais em encontros temáticos",faturamento=+100 milhões de faturamento entre os membros do grupo | faturamento=milhões de faturamento entre os membros do grupo | indicador=+400 agências aceleradas no Brasil e no mundo | indicador=agências aceleradas no Brasil e no mundo | indicador=Maior ecossistema de agências do Brasil,95,False,none,,3,3,0,0,3,0
ALL IN CLUB,All In Club,bronze,Ícaro Gaspar | Luis Cunha | Roberta Gaspar,"O ALL IN Club é para o empresário que está no ALL IN da sua vida, no seu ponto de inflexão ou quer gerar esse momento. Mentoria com visão sistêmica em mentalidade, liderança, estratégia, vendas, gestão de pessoas e processos. Ícaro e Luis entregam mais de 20 anos de experiência criando e potencializando empresas para venderem +, lucrarem + e prosperarem +.",educação / mentores,ENCONTROS: 3 encontros presenciais e 18 MasterClasses Online por ano | PLATAFORMA: exclusiva de conteúdos | DIA DE IMERSÃO: acesso à Benchmark Trip e à Couple Experience Trip | WHATSAPP: grupo exclusivo com todos os membros e mentor,faturamento=+1.5 bilhões de faturamento do grupo em dezembro | faturamento=bilhões de faturamento do grupo em dezembro | indicador=+60 empresas no grupo +2 mil | colaboradores=+2 mil colaboradores impactados | indicador=+100 milhões de reais em negociações | indicador=milhões de reais em negociações realizadas,97,False,none,,36,18,18,4,14,18
ALPH CLUB,Alph Club,bronze,Ivan Pons,"Ivan Pons é especialista em posicionar o empresário como canal de aquisição de seus negócios. Com foco no fortalecimento do posicionamento do empreendedor, dando acesso a novos ambientes e auxiliando na criação de um ecossistema de negócios, com foco no mesmo público final.",generalista / empresários,"ENCONTROS: 6 encontros presencias por ano, encontros online nos meses que não ocorrem eventos presencias | VIAGENS: 2 rotas para visitas | EXCLUSIVO: vivências exclusivas e experiências além da agenda | WHATSAPP: grupo exclusivo no WhatsApp",faturamento=+300 milhões de faturamento somado | faturamento=milhões de faturamento somado | socios=+40 sócios em 4 meses | colaboradores=+600 colaboradores impactados,98,False,none,,6,2,4,2,1,3
